sample_id,latitude,longitude,elevation,lab_name,collected_at,comments,Au,Cu,Ag,Zn,Pb,As,Sb,Bi,Mo,W
GSA-2024-0052,-26.492633,118.545109,580.39,ALS Global,2024-02-26,Sample site 52 - Stream sediment,45.53,1125.536,3.161,571.411,368.666,487.285,33.06,1.538,73.578,91.301
GSA-2024-0053,-26.624468,118.628639,499.22,Bureau Veritas,2024-08-17,Sample site 53 - Subcrop,319.196,1329.055,43.617,1414.22,981.388,228.09,18.252,3.929,65.258,54.121
GSA-2024-0054,-26.719277,118.328949,529.21,Intertek Genalysis,2024-04-06,Sample site 54 - Soil sample B-horizon,214.681,2354.924,44.264,91.527,484.468,291.227,64.761,5.573,125.802,43.66
GSA-2024-0055,-26.506443,118.593311,325.04,ALS Global,2024-02-12,Sample site 55 - Quartz vein,352.888,1459.706,16.474,217.83,706.611,419.77,73.88,19.891,90.075,50.86
GSA-2024-0056,-26.459224,118.601787,320.7,ALS Global,2024-10-11,Sample site 56 - Stream sediment,47.081,4399.294,44.52,937.451,982.939,87.911,91.738,13.664,89.032,65.519
GSA-2024-0057,-26.349346,118.667782,322.77,ALS Global,2024-09-24,Sample site 57 - Quartz vein,200.76,462.124,246.829,633.004,307.826,84.333,69.747,9.648,698.92,142.358
GSA-2024-0058,-26.708496,118.674178,567.95,Intertek Genalysis,2024-01-01,Sample site 58 - Stream sediment,93.244,1679.783,31.726,31.514,42.963,361.02,86.157,10.032,121.563,91.447
GSA-2024-0059,-26.588613,118.369606,357.59,SGS Australia,2024-10-16,Sample site 59 - Quartz vein,143.691,3145.71,25.113,233.143,732.656,29.162,40.113,3.576,187.203,117.925
GSA-2024-0060,-26.704783,118.669028,535.92,Bureau Veritas,2024-01-06,Sample site 60 - Stream sediment,280.471,1940.08,29.463,239.38,749.107,126.37,46.095,17.736,181.527,18.841
GSA-2024-0061,-26.258505,118.499318,361.27,Intertek Genalysis,2024-06-16,Sample site 61 - Soil sample B-horizon,217.654,777.785,24.801,1793.218,209.136,158.556,6.243,19.84,182.479,94.518
GSA-2024-0062,-26.31712,118.490016,596.02,Bureau Veritas,2024-08-12,Sample site 62 - Gossanous outrcop,281.897,1951.903,8.559,1720.778,543.371,258.528,38.263,11.852,520.693,21.03
GSA-2024-0063,-26.580734,118.351828,341.78,Intertek Genalysis,2024-01-04,Sample site 63 - Quartz vein,210.67,4689.182,4.724,1552.213,363.72,69.55,1.342,18.153,41.967,147.269
GSA-2024-0064,-26.462093,118.554779,309.25,ALS Global,2024-05-12,Sample site 64 - Subcrop,191.206,308.831,13.808,1657.149,308.223,890.64,43.467,15.763,177.302,113.381
GSA-2024-0065,-26.720525,118.377687,587.57,ALS Global,2024-09-24,Sample site 65 - Soil sample B-horizon,75.702,2425.022,16.986,789.431,275.243,498.262,56.697,13.298,20.475,57.821
GSA-2024-0066,-26.544174,118.471329,580.76,Intertek Genalysis,2024-02-22,Sample site 66 - Gossanous outrcop,390.493,3107.127,19.55,691.353,148.02,235.813,85.429,7.359,18.357,140.013
GSA-2024-0067,-26.605275,118.597408,503.18,ALS Global,2024-04-08,Sample site 67 - Quartz vein,442.053,2353.235,26.406,1288.359,161.929,123.171,13.029,7.473,65.63,81.331
GSA-2024-0068,-26.704914,118.565125,341.01,ALS Global,2024-01-24,Sample site 68 - Gossanous outrcop,234.831,415.8,22.561,595.658,17.236,46.929,9.422,8.19,148.651,16.097
GSA-2024-0069,-26.381057,118.523713,403.8,Bureau Veritas,2024-01-01,Sample site 69 - Subcrop,432.287,4275.851,25.991,1998.378,457.743,140.222,58.523,14.924,87.788,104.48
GSA-2024-0070,-26.63701,118.25336,567.89,ALS Global,2024-08-19,Sample site 70 - Quartz vein,399.08,4542.721,35.712,676.794,571.268,411.233,31.339,18.114,65.186,66.516
GSA-2024-0071,-26.656258,118.307451,561.74,SGS Australia,2024-04-28,Sample site 71 - Gossanous outrcop,468.64,329.796,3.956,966.583,813.395,280.182,14.493,6.308,82.212,77.288
GSA-2024-0072,-26.695481,118.434838,410.18,Bureau Veritas,2024-08-29,Sample site 72 - Subcrop,205.225,1395.058,16.003,1517.031,853.58,337.922,72.981,5.41,175.657,90.185
GSA-2024-0073,-26.452033,118.681456,373.86,Bureau Veritas,2024-02-22,Sample site 73 - Gossanous outrcop,466.256,2890.271,32.4,131.265,306.694,239.355,84.392,2.031,9.247,34.799
GSA-2024-0074,-26.715418,118.595288,593.14,ALS Global,2024-07-12,Sample site 74 - Subcrop,95.49,2716.155,7.712,1706.11,17.525,117.237,58.383,16.031,165.619,148.926
GSA-2024-0075,-26.300515,118.460103,412.32,ALS Global,2024-05-10,Sample site 75 - Quartz vein,1375.465,2144.903,37.939,139.712,805.33,192.45,89.895,2.376,146.585,107.923
GSA-2024-0076,-26.593824,118.391709,406.46,ALS Global,2024-04-09,Sample site 76 - Quartz vein,254.868,12799.881,7.061,1730.527,827.477,15.129,86.15,6.502,31.551,78.303
GSA-2024-0077,-26.663964,118.561651,364.86,Intertek Genalysis,2024-04-07,Sample site 77 - Stream sediment,376.263,3059.013,44.936,594.726,653.686,62.336,68.797,22.085,165.55,27.083
GSA-2024-0078,-26.367938,118.562723,592.72,Bureau Veritas,2024-07-18,Sample site 78 - Gossanous outrcop,1671.663,1239.054,47.121,278.224,285.989,49.636,61.165,18.544,9.847,65.435
GSA-2024-0079,-26.502041,118.488452,514.81,Bureau Veritas,2024-04-22,Sample site 79 - Stream sediment,290.477,169.251,36.29,782.821,242.135,62.454,54.279,13.332,158.197,54.328
GSA-2024-0080,-26.576636,118.642606,433.25,SGS Australia,2024-03-14,Sample site 80 - Stream sediment,759.755,1293.091,24.015,1710.469,847.995,1310.171,85.618,2.651,118.988,81.229
GSA-2024-0081,-26.261185,118.695424,459.09,ALS Global,2024-02-20,Sample site 81 - Gossanous outrcop,257.265,1529.023,14.075,1028.295,611.13,880.471,30.645,9.868,605.499,24.474
GSA-2024-0082,-26.635172,118.480035,545.2,SGS Australia,2024-02-20,Sample site 82 - Subcrop,410.786,1643.013,49.083,8700.843,524.905,415.896,84.058,13.089,123.441,42.562
GSA-2024-0083,-26.256837,118.561645,488.21,Bureau Veritas,2024-04-30,Sample site 83 - Stream sediment,273.434,1732.066,3.487,828.565,266.63,72.803,76.6,15.697,176.251,42.231
GSA-2024-0084,-26.250151,118.671109,594.03,Bureau Veritas,2024-04-28,Sample site 84 - Gossanous outrcop,662.662,1410.748,34.739,1668.8,671.403,69.096,31.828,6.802,126.597,58.85
GSA-2024-0085,-26.374273,118.469139,450.52,Bureau Veritas,2024-02-08,Sample site 85 - Stream sediment,35.673,453.692,1.815,1965.119,979.617,162.826,60.629,17.423,56.98,206.029
GSA-2024-0086,-26.658929,118.404573,537.44,Bureau Veritas,2024-07-15,Sample site 86 - Subcrop,125.152,404.347,40.446,87.769,934.877,212.962,37.079,11.538,140.269,377.835
GSA-2024-0087,-26.533858,118.45606,323.76,SGS Australia,2024-01-13,Sample site 87 - Stream sediment,82.45,2418.279,36.241,1322.191,150.764,77.416,316.375,11.014,77.545,137.765
GSA-2024-0088,-26.397904,118.659991,409.26,Intertek Genalysis,2024-01-24,Sample site 88 - Subcrop,261.468,529.737,29.357,409.95,3959.808,281.356,10.552,2.312,69.465,127.947
GSA-2024-0089,-26.60723,118.463816,522.57,Intertek Genalysis,2024-02-27,Sample site 89 - Quartz vein,90.124,2838.52,1.469,1516.318,526.806,55.638,63.332,82.04,80.7,38.584
GSA-2024-0090,-26.396191,118.341832,566.92,Bureau Veritas,2024-05-31,Sample site 90 - Stream sediment,187.964,770.538,18.138,540.468,955.368,219.662,93.675,19.589,52.391,9.973
GSA-2024-0091,-26.580951,118.703713,426.41,Intertek Genalysis,2024-06-16,Sample site 91 - Quartz vein,495.726,249.071,39.594,143.583,145.311,31.181,42.185,3.314,69.318,123.495
GSA-2024-0092,-26.560579,118.623908,541.22,ALS Global,2024-07-13,Sample site 92 - Subcrop,335.566,2278.269,40.662,1386.258,626.929,408.422,69.475,19.051,168.954,109.986
GSA-2024-0093,-26.723634,118.550215,535.79,Bureau Veritas,2024-03-10,Sample site 93 - Subcrop,216.127,4188.992,46.113,301.289,832.247,450.886,66.155,7.303,137.127,27.366
GSA-2024-0094,-26.269438,118.261837,313.83,Intertek Genalysis,2024-09-16,Sample site 94 - Stream sediment,112.298,2213.39,35.9,1260.748,190.125,187.681,16.77,11.035,132.443,139.635
GSA-2024-0095,-26.69462,118.573244,400.6,Bureau Veritas,2024-08-11,Sample site 95 - Subcrop,425.529,2085.935,192.846,996.106,341.488,48.663,40.445,12.316,2.447,482.762
GSA-2024-0096,-26.646123,118.716202,398.85,Bureau Veritas,2024-08-27,Sample site 96 - Stream sediment,381.869,334.839,130.462,1261.891,289.436,394.471,60.698,9.477,5.429,10.84
GSA-2024-0097,-26.38674,118.439645,374.79,SGS Australia,2024-03-01,Sample site 97 - Quartz vein,246.463,2773.935,22.381,841.387,933.807,475.07,27.911,17.283,81.909,62.658
GSA-2024-0098,-26.455406,118.721885,561.44,ALS Global,2024-05-24,Sample site 98 - Soil sample B-horizon,70.949,2961.286,2.229,253.804,538.384,212.129,8.42,17.674,20.456,51.028
GSA-2024-0099,-26.269217,118.556822,585.64,Bureau Veritas,2024-03-28,Sample site 99 - Stream sediment,305.848,2702.593,27.619,1774.528,501.483,444.321,37.766,15.739,46.626,2.637
GSA-2024-0100,-26.289111,118.443348,572.65,Intertek Genalysis,2024-02-23,Sample site 100 - Quartz vein,80.565,3223.848,8.543,1012.209,630.987,45.119,45.552,7.514,10.053,26.004
GSA-2024-0101,-26.560035,118.714239,519.17,ALS Global,2024-07-15,Sample site 101 - Stream sediment,105.755,3444.152,18.961,62.942,198.34,42.082,88.606,12.649,195.622,70.583
GSA-2024-0102,-26.595638,118.689831,402.58,Intertek Genalysis,2024-02-08,Sample site 102 - Soil sample B-horizon,85.857,4418.117,66.343,30.946,762.123,402.613,63.83,3.375,138.026,113.344
GSA-2024-0103,-26.397453,118.652903,536.78,SGS Australia,2024-08-24,Sample site 103 - Stream sediment,15.972,1520.639,31.447,275.131,464.004,58.812,87.751,16.022,160.138,77.027
GSA-2024-0104,-26.725289,118.301127,437.48,Intertek Genalysis,2024-08-10,Sample site 104 - Stream sediment,282.791,3242.488,29.217,1317.927,703.503,202.982,35.337,6.034,90.033,1.606
GSA-2024-0105,-26.446254,118.404499,512.16,Bureau Veritas,2024-07-05,Sample site 105 - Stream sediment,76.362,737.508,40.517,938.314,179.255,480.402,65.147,2.807,156.265,141.651
GSA-2024-0106,-26.376957,118.461044,596.88,SGS Australia,2024-06-13,Sample site 106 - Quartz vein,416.221,1210.35,24.083,888.725,913.266,289.443,61.443,10.887,198.199,108.988
GSA-2024-0107,-26.608441,118.388205,506.18,ALS Global,2024-01-18,Sample site 107 - Quartz vein,58.657,3747.876,7.453,1466.006,715.497,412.781,37.583,9.231,135.949,149.375
GSA-2024-0108,-26.688446,118.521461,443.71,ALS Global,2024-05-28,Sample site 108 - Gossanous outrcop,222.86,4139.913,33.697,1677.431,711.428,296.624,81.221,11.629,193.747,129.18
GSA-2024-0109,-26.302445,118.646158,483.31,SGS Australia,2024-09-27,Sample site 109 - Soil sample B-horizon,337.546,889.068,29.359,1828.014,145.426,48.739,75.607,13.454,81.124,116.189
GSA-2024-0110,-26.465337,118.410014,345.77,SGS Australia,2024-06-21,Sample site 110 - Soil sample B-horizon,20.645,4739.136,3.124,488.299,929.511,352.58,90.36,79.869,193.588,15.19
GSA-2024-0111,-26.749234,118.288982,561.85,Bureau Veritas,2024-03-14,Sample site 111 - Quartz vein,175.278,4150.689,186.311,777.136,407.396,410.168,93.805,17.34,176.716,113.619
GSA-2024-0112,-26.255466,118.660177,443.0,Intertek Genalysis,2024-07-09,Sample site 112 - Gossanous outrcop,98.493,4209.275,21.535,74.93,108.606,60.952,74.139,13.6,174.635,60.811
GSA-2024-0113,-26.728611,118.255354,547.68,Intertek Genalysis,2024-04-16,Sample site 113 - Soil sample B-horizon,387.952,3157.594,3.212,854.691,212.147,172.177,46.473,3.469,961.033,95.563
GSA-2024-0114,-26.570151,118.279466,450.23,Intertek Genalysis,2024-04-06,Sample site 114 - Soil sample B-horizon,109.661,23530.283,15.085,688.26,156.339,232.028,94.203,5.645,59.897,33.916
GSA-2024-0115,-26.657197,118.259213,419.36,SGS Australia,2024-09-10,Sample site 115 - Soil sample B-horizon,61.409,356.216,20.197,1543.376,919.061,112.569,74.699,8.678,62.871,2.628
GSA-2024-0116,-26.60059,118.445559,487.34,ALS Global,2024-01-27,Sample site 116 - Quartz vein,261.931,3361.691,29.612,1335.888,989.34,1172.463,45.255,17.621,102.787,79.695
GSA-2024-0117,-26.495838,118.700874,444.29,ALS Global,2024-04-26,Sample site 117 - Soil sample B-horizon,48.862,1061.493,23.192,363.922,59.838,221.46,60.97,10.475,1.816,104.995
GSA-2024-0118,-26.373963,118.557009,441.67,ALS Global,2024-07-27,Sample site 118 - Stream sediment,342.633,3912.456,16.356,356.418,886.785,444.589,69.762,18.622,160.267,125.805
GSA-2024-0119,-26.378533,118.725213,492.22,SGS Australia,2024-09-12,Sample site 119 - Gossanous outrcop,295.436,8215.797,41.228,1741.056,742.771,168.773,74.592,15.454,78.081,109.206
GSA-2024-0120,-26.542459,118.401442,417.33,ALS Global,2024-07-11,Sample site 120 - Stream sediment,291.591,1935.979,25.921,740.105,992.384,2133.714,60.946,18.421,122.549,403.238
